,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
0,98,275,98_275,3.8090938319582213,274594,51.46456099301578,-0.0142942070960621,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1,99,275,99_275,4.441915178323856,274594,51.46456099301578,-0.0142942070960621,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
2,140,420,140_420,0.7508441455031288,643308,51.46418769657613,-0.0122925043105356,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
6,143,419,143_419,4.336171283965913,643307,51.464135594666,-0.0122415050863818,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
3,147,420,147_420,4.281992627041064,643308,51.46418769657613,-0.0122925043105356,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
4,148,420,148_420,0.7374309052355819,643308,51.46418769657613,-0.0122925043105356,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
5,149,420,149_420,3.6851053950555417,643308,51.46418769657613,-0.0122925043105356,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
7,149,419,149_419,3.1974627974543433,643307,51.464135594666,-0.0122415050863818,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
8,150,419,150_419,1.9104814642078363,643307,51.464135594666,-0.0122415050863818,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
9,151,400,151_400,2.9647304685394547,283178,51.46407609432944,-0.0122133046388326,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
10,152,400,152_400,3.6082117210719495,283178,51.46407609432944,-0.0122133046388326,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
11,153,399,153_399,3.478448744323178,283177,51.46398649364718,-0.0122316032647192,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
12,154,399,154_399,0.7080773869656168,283177,51.46398649364718,-0.0122316032647192,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
13,155,399,155_399,2.0524453445858533,283177,51.46398649364718,-0.0122316032647192,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
14,190,392,190_392,2.3455647294120454,279049,51.463550493121126,-0.0125097036361235,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
15,191,392,191_392,3.825003441064792,279049,51.463550493121126,-0.0125097036361235,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
21,196,316,196_316,2.0256417160285105,274640,51.46302519738682,-0.0128204002976581,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
24,197,389,197_389,2.5239722605548627,279046,51.46318549662838,-0.0127271041273707,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
28,199,391,199_391,4.720507229538609,279048,51.46335479617132,-0.0126333013176948,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
29,202,390,202_390,4.624773013788697,279047,51.46329239755881,-0.0126648023724536,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
25,205,389,205_389,4.489929781436758,279046,51.46318549662838,-0.0127271041273707,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
26,206,389,206_389,2.399409476081771,279046,51.46318549662838,-0.0127271041273707,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
27,207,389,207_389,3.658115943587193,279046,51.46318549662838,-0.0127271041273707,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
30,208,388,208_388,2.672172320148659,279045,51.46310529857881,-0.0127738043665327,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
31,209,388,209_388,1.871050511707595,279045,51.46310529857881,-0.0127738043665327,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
22,211,316,211_316,2.211040843036369,274640,51.46302519738682,-0.0128204002976581,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
32,212,315,212_315,4.80932200222807,274639,51.46295379847306,-0.0128523036836686,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
23,212,316,212_316,4.563911214488525,274640,51.46302519738682,-0.0128204002976581,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
33,213,315,213_315,1.957366070962176,274639,51.46295379847306,-0.0128523036836686,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
34,214,315,214_315,3.384209061066421,274639,51.46295379847306,-0.0128523036836686,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
35,220,247,220_247,3.425634080145635,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
40,222,117,222_117,1.8317900540161458,253250,51.46289609372628,-0.0136898010968872,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
43,222,244,222_244,4.461493968525484,272556,51.462877400219575,-0.0136475041508207,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
47,223,29,223_29,4.409076021709079,273206,51.46283799409871,-0.0134476050734041,True,Lewisham,Other,Black Mulberry,,Over  Mature,Veteran(over150),,,,,20201127,20210218
52,223,245,223_245,2.913671033230068,272557,51.46283949911598,-0.0135339051484677,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
56,223,246,223_246,3.593529558742996,272558,51.46282949298621,-0.0134768038987689,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
61,224,251,224_251,4.491555692949047,272564,51.46283649653206,-0.0133613049984074,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
36,228,247,228_247,4.78783789061427,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
37,229,247,229_247,2.554628062204181,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
57,230,246,230_246,3.576666557291056,272558,51.46282949298621,-0.0134768038987689,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
38,230,247,230_247,0.7083883490369602,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
48,230,29,230_29,3.571418421216557,273206,51.46283799409871,-0.0134476050734041,True,Lewisham,Other,Black Mulberry,,Over  Mature,Veteran(over150),,,,,20201127,20210218
49,231,29,231_29,3.029544431821491,273206,51.46283799409871,-0.0134476050734041,True,Lewisham,Other,Black Mulberry,,Over  Mature,Veteran(over150),,,,,20201127,20210218
39,231,247,231_247,2.691604317284987,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
58,231,246,231_246,1.5754067687027475,272558,51.46282949298621,-0.0134768038987689,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
53,232,245,232_245,2.651077779499304,272557,51.46283949911598,-0.0135339051484677,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
50,232,29,232_29,4.135508923988066,273206,51.46283799409871,-0.0134476050734041,True,Lewisham,Other,Black Mulberry,,Over  Mature,Veteran(over150),,,,,20201127,20210218
59,232,246,232_246,1.9163661782332326,272558,51.46282949298621,-0.0134768038987689,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
60,233,246,233_246,4.045268398563491,272558,51.46282949298621,-0.0134768038987689,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
54,233,245,233_245,0.5562539126687854,272557,51.46283949911598,-0.0135339051484677,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
55,234,245,234_245,3.3516455028643177,272557,51.46283949911598,-0.0135339051484677,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
44,235,244,235_244,2.2224108831949376,272556,51.462877400219575,-0.0136475041508207,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
45,236,244,236_244,0.9904524304968649,272556,51.462877400219575,-0.0136475041508207,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
41,236,117,236_117,3.189166265731297,253250,51.46289609372628,-0.0136898010968872,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
46,237,244,237_244,4.659609126482665,272556,51.462877400219575,-0.0136475041508207,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
42,237,117,237_117,1.5060377231943292,253250,51.46289609372628,-0.0136898010968872,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
64,237,25,237_25,4.936224367512112,273027,51.46291519701475,-0.0137610062955844,True,Lewisham,Other,Sweet Gum,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
65,238,25,238_25,2.7139277715909538,273027,51.46291519701475,-0.0137610062955844,True,Lewisham,Other,Sweet Gum,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
66,239,25,239_25,4.72407762004765,273027,51.46291519701475,-0.0137610062955844,True,Lewisham,Other,Sweet Gum,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
68,239,341,239_341,1.7754613936749113,276697,51.46295189857495,-0.0138026028871508,True,Lewisham,Ash,Ash,Fraxinus excelsior,1  Mature,Mature(31-80),,,,,20201127,20210218
69,240,341,240_341,3.3618173485600003,276697,51.46295189857495,-0.0138026028871508,True,Lewisham,Ash,Ash,Fraxinus excelsior,1  Mature,Mature(31-80),,,,,20201127,20210218
72,241,142,241_142,4.999278491763258,256091,51.46300799399626,-0.0139297023415241,True,Lewisham,Alder,A Flowering Plant,Amelanchier,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
73,242,142,242_142,3.366239812010056,256091,51.46300799399626,-0.0139297023415241,True,Lewisham,Alder,A Flowering Plant,Amelanchier,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
74,244,256,244_256,4.596402672195894,272583,51.46308139711631,-0.0140129029750708,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
75,245,256,245_256,3.044540139612012,272583,51.46308139711631,-0.0140129029750708,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
78,246,153,246_153,4.219848755232616,259873,51.46323079615839,-0.0143376067280813,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
81,248,157,248_157,4.228478369770528,259877,51.46339809894566,-0.0146614015101837,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
84,249,154,249_154,3.753741356682796,259874,51.46327719837432,-0.0144219025969659,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
87,250,21,250_21,2.367995232715305,271275,51.46314699947838,-0.0141684040427194,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
88,251,21,251_21,1.8831564424116822,271275,51.46314699947838,-0.0141684040427194,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
91,252,22,252_22,2.8301419551404554,271276,51.46318409591919,-0.0142388045787794,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
92,253,22,253_22,2.773301546474051,271276,51.46318409591919,-0.0142388045787794,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
79,255,153,255_153,3.7553627928779645,259873,51.46323079615839,-0.0143376067280813,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
80,256,153,256_153,4.453671270840026,259873,51.46323079615839,-0.0143376067280813,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
85,257,154,257_154,3.825663217439446,259874,51.46327719837432,-0.0144219025969659,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
86,258,154,258_154,3.822270711300286,259874,51.46327719837432,-0.0144219025969659,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
93,259,155,259_155,4.502645254930053,259875,51.46330529451379,-0.0144927054643779,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
94,261,156,261_156,4.105920643593782,259876,51.46335149556403,-0.0145627036690189,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
95,262,156,262_156,4.128373105978894,259876,51.46335149556403,-0.0145627036690189,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
82,263,157,263_157,4.682413223596334,259877,51.46339809894566,-0.0146614015101837,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
83,264,157,264_157,3.557366764720032,259877,51.46339809894566,-0.0146614015101837,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
96,265,158,265_158,4.966862209367232,259878,51.46345399320129,-0.0147742033003803,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
97,266,158,266_158,3.456952415881001,259878,51.46345399320129,-0.0147742033003803,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
101,270,359,270_359,4.761764534792256,277387,51.4635819941759,-0.0148982033133036,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
102,271,359,271_359,0.7319629512493475,277387,51.4635819941759,-0.0148982033133036,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
103,349,237,349_237,3.4567630921141133,271321,51.46344979852456,-0.0134642049669749,True,Lewisham,Birch,Birch,Betula,1  Mature,Mature(31-80),,,,,20201127,20210218
104,355,237,355_237,4.333892480018996,271321,51.46344979852456,-0.0134642049669749,True,Lewisham,Birch,Birch,Betula,1  Mature,Mature(31-80),,,,,20201127,20210218
105,356,237,356_237,3.1466376014430426,271321,51.46344979852456,-0.0134642049669749,True,Lewisham,Birch,Birch,Betula,1  Mature,Mature(31-80),,,,,20201127,20210218
106,357,237,357_237,4.368126887134347,271321,51.46344979852456,-0.0134642049669749,True,Lewisham,Birch,Birch,Betula,1  Mature,Mature(31-80),,,,,20201127,20210218
107,358,206,358_206,4.453538759284873,264777,51.46337009966386,-0.0135397017000826,True,Lewisham,Willow,Willow,Salix,1  Mature,Mature(31-80),,,,,20201127,20210218
108,359,206,359_206,1.808883772955943,264777,51.46337009966386,-0.0135397017000826,True,Lewisham,Willow,Willow,Salix,1  Mature,Mature(31-80),,,,,20201127,20210218
110,360,149,360_149,3.748274571430722,258002,51.46333419531594,-0.0135412067174208,True,Lewisham,Willow,Goat Willow,Salix caprea,1  Mature,Mature(31-80),,,,,20201127,20210218
109,360,206,360_206,3.003398055279008,264777,51.46337009966386,-0.0135397017000826,True,Lewisham,Willow,Willow,Salix,1  Mature,Mature(31-80),,,,,20201127,20210218
111,361,149,361_149,4.3636693972206935,258002,51.46333419531594,-0.0135412067174208,True,Lewisham,Willow,Goat Willow,Salix caprea,1  Mature,Mature(31-80),,,,,20201127,20210218
98,376,158,376_158,3.3273812666262046,259878,51.46345399320129,-0.0147742033003803,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
99,390,158,390_158,4.826109913745086,259878,51.46345399320129,-0.0147742033003803,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
100,391,158,391_158,3.2575285672684045,259878,51.46345399320129,-0.0147742033003803,True,Lewisham,Oak,Acorn,Quercus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
112,393,358,393_358,3.3582954237725837,277386,51.463510096073165,-0.0149013027548206,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
113,394,358,394_358,3.3077198337272224,277386,51.463510096073165,-0.0149013027548206,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
114,396,357,396_357,3.2683063188699295,277385,51.463422194123325,-0.0150203034281849,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
115,397,357,397_357,1.237767544932258,277385,51.463422194123325,-0.0150203034281849,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
116,398,357,398_357,3.8028413476686804,277385,51.463422194123325,-0.0150203034281849,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
117,399,356,399_356,4.406557184002162,277384,51.46336969733249,-0.015109002590098,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
118,406,136,406_136,3.7424738503475896,254904,51.46327309310448,-0.0152427032589911,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
119,407,136,407_136,2.143364044345726,254904,51.46327309310448,-0.0152427032589911,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
120,408,136,408_136,3.6691478591709408,254904,51.46327309310448,-0.0152427032589911,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
121,425,164,425_164,3.431285791577284,260202,51.46298959851271,-0.0144344046712041,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
124,425,355,425_355,4.254604013815657,277383,51.46301629394297,-0.014418803155382,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
122,426,164,426_164,1.6447270779569942,260202,51.46298959851271,-0.0144344046712041,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
125,426,355,426_355,1.7024342271473616,277383,51.46301629394297,-0.014418803155382,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
123,427,164,427_164,3.4026863239028633,260202,51.46298959851271,-0.0144344046712041,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
126,427,355,427_355,2.3741610555265797,277383,51.46301629394297,-0.014418803155382,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
127,428,355,428_355,4.727730436613323,277383,51.46301629394297,-0.014418803155382,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
128,429,129,429_129,4.959410365886906,254897,51.46308649331328,-0.0143150016665212,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
129,430,129,430_129,3.121017414674327,254897,51.46308649331328,-0.0143150016665212,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
130,431,129,431_129,3.640156841049212,254897,51.46308649331328,-0.0143150016665212,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
131,431,130,431_130,4.626872944596252,254898,51.46312199533002,-0.0142847001552038,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
89,432,21,432_21,4.67157076009581,271275,51.46314699947838,-0.0141684040427194,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
90,433,21,433_21,2.650771247246159,271275,51.46314699947838,-0.0141684040427194,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
132,435,255,435_255,4.789232949183368,272582,51.46316229552039,-0.0140094012021348,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
76,436,256,436_256,2.9841216511701334,272583,51.46308139711631,-0.0140129029750708,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
77,437,256,437_256,3.299779881871717,272583,51.46308139711631,-0.0140129029750708,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
70,442,341,442_341,3.747728666920025,276697,51.46295189857495,-0.0138026028871508,True,Lewisham,Ash,Ash,Fraxinus excelsior,1  Mature,Mature(31-80),,,,,20201127,20210218
71,443,341,443_341,3.97447795534171,276697,51.46295189857495,-0.0138026028871508,True,Lewisham,Ash,Ash,Fraxinus excelsior,1  Mature,Mature(31-80),,,,,20201127,20210218
67,444,25,444_25,4.58422171644517,273027,51.46291519701475,-0.0137610062955844,True,Lewisham,Other,Sweet Gum,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
51,451,29,451_29,4.422084952809696,273206,51.46283799409871,-0.0134476050734041,True,Lewisham,Other,Black Mulberry,,Over  Mature,Veteran(over150),,,,,20201127,20210218
133,451,347,451_347,2.3595749900669785,277367,51.46286449581388,-0.0134177058934722,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
134,452,347,452_347,2.3141507664652377,277367,51.46286449581388,-0.0134177058934722,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
62,452,251,452_251,3.3271601910996393,272564,51.46283649653206,-0.0133613049984074,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
63,453,251,453_251,1.0510870150730895,272564,51.46283649653206,-0.0133613049984074,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
135,490,84,490_84,4.673718489765404,77834,51.46189829707155,-0.0131861045955706,True,Lewisham,Maple,Norway Maple,Acer platanoides,Semi  Mature,Early Mature(16-30),4.3,7.7,17.5,,20201127,20210218
136,503,403,503_403,4.710766408126564,641281,51.46153439581396,-0.0132226049899553,True,TFL,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
137,564,116,564_116,2.7685904591040775,253218,51.45978889614345,-0.0128890052437126,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
138,565,116,565_116,2.051801205735508,253218,51.45978889614345,-0.0128890052437126,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
139,566,116,566_116,3.447351372645851,253218,51.45978889614345,-0.0128890052437126,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
140,580,76,580_76,1.8746280357174185,77783,51.45934979617608,-0.0124475061893099,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),8.0,10.5,26.0,,20201127,20210218
144,581,323,581_323,2.9520916509384802,275471,51.45926599949605,-0.0122784003615039,True,Lewisham,Plane,Plane,Platanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
